algorithm,scenario,n_trials,n_intercept,p_intercept,p_intercept_lo,p_intercept_hi,miss_mean,miss_median,miss_p95,tti_mean,effort_mean
"RL (PPO, aero)",A1_crossing,100,1,0.01,0.0017673865655472645,0.0544875247609346,1060.8644936351548,1001.4038989454556,2044.9252651775141,4.089999999999957,241367.09933961445
True PN (N=4),A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.576798843485305,13.89582263758862,18.951182708986032,5.179899999999934,102577.50855212413
Augmented PN,A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.765492629320361,13.847100609448951,19.058126879334985,5.181799999999935,99308.8273662821
Sliding-mode,A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.422950696689686,13.273693685400637,19.443619278621718,5.191699999999933,181887.50365908726
"RL (PPO, aero)",A2_weave18g,100,1,0.01,0.0017673865655472645,0.0544875247609346,791.7141665859382,783.4566949405562,1761.0956919375067,4.009999999999959,51211.45350149651
True PN (N=4),A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.9736273724416,12.483562177294303,19.446445679392216,4.623699999999946,139814.9688173021
Augmented PN,A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.357948660357268,12.440982389433838,18.45426611249016,4.654199999999945,294913.1601329224
Sliding-mode,A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.37492893034984,12.041319411456264,19.31966162786919,4.640099999999946,175722.55021304288
"RL (PPO, aero)",A3_jink22g,100,0,0.0,0.0,0.03699480747600191,1024.4929203392917,996.9908824784401,2124.104822524081,nan,111601.96105486255
True PN (N=4),A3_jink22g,100,81,0.81,0.7222097592919214,0.8748534600729574,16.354924591685588,15.688091356019797,24.79435269456003,5.074814814814751,235496.6130306936
Augmented PN,A3_jink22g,100,93,0.93,0.8625032899347025,0.965681175635936,14.489886666978194,13.221379258145834,24.76318720076962,5.028602150537571,369185.05143561424
Sliding-mode,A3_jink22g,100,100,1.0,0.9630051925239981,0.9999999999999999,13.322952267595742,13.454060832409496,19.389987306435575,5.007999999999937,333770.98981812457
