algorithm,scenario,n_trials,n_intercept,p_intercept,p_intercept_lo,p_intercept_hi,miss_mean,miss_median,miss_p95,tti_mean,effort_mean
Recurrent APN-residual,A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.60055391033228,14.118484528127006,19.081058958311182,5.1816999999999345,126140.66821430711
True PN (N=4),A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.576798843485305,13.89582263758862,18.951182708986032,5.179899999999934,102577.50855212413
Augmented PN,A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.765492629320361,13.847100609448951,19.058126879334985,5.181799999999935,99308.8273662821
Sliding-mode,A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.422950696689686,13.273693685400637,19.443619278621718,5.191699999999933,181887.50365908726
Residual-PN (MLP),A1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.076011565773932,13.333910229863335,19.368306504484693,5.189099999999934,159178.82263506835
Recurrent APN-residual,A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.469079750282782,12.262523333149108,19.647265309659332,4.626699999999946,122813.84092517375
True PN (N=4),A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.9736273724416,12.483562177294303,19.446445679392216,4.623699999999946,139814.9688173021
Augmented PN,A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.357948660357268,12.440982389433838,18.45426611249016,4.654199999999945,294913.1601329224
Sliding-mode,A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.37492893034984,12.041319411456264,19.31966162786919,4.640099999999946,175722.55021304288
Residual-PN (MLP),A2_weave18g,100,100,1.0,0.9630051925239981,0.9999999999999999,12.192610433579539,12.478916127265503,19.16928577410316,4.626299999999946,136993.97957985636
Recurrent APN-residual,A3_jink22g,100,95,0.95,0.8882480347279118,0.9784566385436864,14.290583208888481,13.427567972662674,19.994749337720602,4.976105263157834,261708.7943105204
True PN (N=4),A3_jink22g,100,81,0.81,0.7222097592919214,0.8748534600729574,16.354924591685588,15.688091356019797,24.79435269456003,5.074814814814751,235496.6130306936
Augmented PN,A3_jink22g,100,93,0.93,0.8625032899347025,0.965681175635936,14.489886666978194,13.221379258145834,24.76318720076962,5.028602150537571,369185.05143561424
Sliding-mode,A3_jink22g,100,100,1.0,0.9630051925239981,0.9999999999999999,13.322952267595742,13.454060832409496,19.389987306435575,5.007999999999937,333770.98981812457
Residual-PN (MLP),A3_jink22g,100,68,0.68,0.5833719774632081,0.7633098918454312,20.55651801215873,17.084623478969366,40.781711586778236,5.047941176470524,232189.43217636328
