algorithm,scenario,n_trials,n_intercept,p_intercept,p_intercept_lo,p_intercept_hi,miss_mean,miss_median,miss_p95,tti_mean,effort_mean
RL-3D (residual),C1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.234734493839579,13.549182935014114,19.184213990370687,5.978399999999917,193021.6490011397
True PN-3D,C1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.49391678286934,14.095461360587546,19.039972223427554,5.971199999999916,117487.67304441068
Augmented PN-3D,C1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.034019227750228,12.90104233253685,19.701005561443264,5.974399999999917,115877.83946188378
Optimal-3D,C1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.107608006138372,12.738241873528942,19.511957371800857,5.996899999999917,111161.25684909121
Sliding-mode-3D,C1_crossing,100,100,1.0,0.9630051925239981,0.9999999999999999,13.05090623624828,13.002806568959876,18.9723395226992,5.977399999999916,205292.92667732353
RL-3D (residual),C2_weave,100,91,0.91,0.8377362530335634,0.9519280048361151,14.553359596769399,15.108758963925432,22.57191472472078,5.731428571428493,214526.62098093302
True PN-3D,C2_weave,100,100,1.0,0.9630051925239981,0.9999999999999999,12.664037718319905,13.105504572361047,18.486644565762607,5.730499999999921,173491.5430543492
Augmented PN-3D,C2_weave,100,100,1.0,0.9630051925239981,0.9999999999999999,12.855720330784324,12.795370382488365,18.868632976725927,5.7637999999999225,238445.81164836854
Optimal-3D,C2_weave,100,100,1.0,0.9630051925239981,0.9999999999999999,12.916939882272922,12.778154674548295,19.103207560672512,5.769799999999922,190824.2449694515
Sliding-mode-3D,C2_weave,100,100,1.0,0.9630051925239981,0.9999999999999999,13.233021138101137,12.919180752362642,19.432135623248634,5.744099999999922,221081.89471268366
RL-3D (residual),C3_barrel,100,98,0.98,0.9299868370580063,0.9944981477650318,14.947946232755408,14.920964078613153,19.623127528994075,5.6578571428570665,275861.8338917428
True PN-3D,C3_barrel,100,100,1.0,0.9630051925239981,0.9999999999999999,13.363054941119236,13.034094771993765,19.47529221098917,5.628399999999925,268587.2664508041
Augmented PN-3D,C3_barrel,100,100,1.0,0.9630051925239981,0.9999999999999999,13.377312272001184,13.859189336432667,19.167863401337144,5.679299999999923,258662.14874467804
Optimal-3D,C3_barrel,100,100,1.0,0.9630051925239981,0.9999999999999999,13.423744423825713,13.934887379466074,19.10397223981486,5.691499999999923,245125.9101982673
Sliding-mode-3D,C3_barrel,100,100,1.0,0.9630051925239981,0.9999999999999999,13.141021903000665,13.355991107098495,18.773480797459808,5.635299999999924,275197.6693365745
