algorithm,scenario,n_trials,n_intercept,p_intercept,p_intercept_lo,p_intercept_hi,miss_mean,miss_median,miss_p95,tti_mean,effort_mean
RL (PPO residual),E1_headon,100,100,1.0,0.9630051925239981,0.9999999999999999,7.38925525616244,6.103289029772141,18.320212740826356,3.8349999999999995,2737.1202044645643
True PN (N=4),E1_headon,100,100,1.0,0.9630051925239981,0.9999999999999999,7.0996034176268825,5.599918566132297,18.25770439799509,3.8346,583.8264957596024
Optimal (OGL),E1_headon,100,100,1.0,0.9630051925239981,0.9999999999999999,6.948713004816885,5.442791446905797,17.99889972346933,3.8347999999999995,555.5983423693762
Augmented PN,E1_headon,100,100,1.0,0.9630051925239981,0.9999999999999999,7.0996034176268825,5.599918566132297,18.25770439799509,3.8346,583.8264957596024
RL (PPO residual),E2_crossing,100,82,0.82,0.7333246397578691,0.8829986834574896,56.910575127174596,15.947763635665531,392.010451068674,7.749024390243826,276696.8704089334
True PN (N=4),E2_crossing,100,76,0.76,0.6676748127670786,0.8330878873454004,72.84261579307491,15.132133217985114,428.7580992984667,6.170526315789429,254112.94558009156
Optimal (OGL),E2_crossing,100,76,0.76,0.6676748127670786,0.8330878873454004,72.01929413268736,13.221878935901627,428.7581526723702,6.185526315789429,251309.3950220815
Augmented PN,E2_crossing,100,76,0.76,0.6676748127670786,0.8330878873454004,72.84261579307491,15.132133217985114,428.7580992984667,6.170526315789429,254112.94558009156
RL (PPO residual),E3_weaving,100,100,1.0,0.9630051925239981,0.9999999999999999,6.483022991142989,4.99271021860374,17.107075865988147,3.8382,7917.2708828064615
True PN (N=4),E3_weaving,100,100,1.0,0.9630051925239981,0.9999999999999999,5.972046345520519,3.903831717443584,16.841697279557714,3.8371999999999997,6486.307534769635
Optimal (OGL),E3_weaving,100,100,1.0,0.9630051925239981,0.9999999999999999,6.340361962959377,4.682953194469582,17.910965675795207,3.8369999999999997,8578.347977548407
Augmented PN,E3_weaving,100,100,1.0,0.9630051925239981,0.9999999999999999,6.124973083779062,4.564665682241152,16.495605402893975,3.8373999999999997,11308.593707530183
